Benchmark finished!
|     |   batch |   q_seq_length |   kv_seq_length |   num_heads_q |   num_heads_kv |   head_dim | causal   | local   | use_sinks   |   page_size | provider   |     tflops |   bandwidth |         ms |
| 119 |       1 |            128 |            4096 |            16 |              8 |        256 | True     | False   | False       |         128 | flash_attn | 16.8236    |    69.8246  |   0.510588 |
| 120 |       1 |            128 |            1024 |            16 |              4 |        512 | True     | False   | False       |           0 | flash_attn |  1.80434   |     5.28616 |   2.38035  |
| 121 |       1 |            128 |            1024 |            16 |              4 |        512 | True     | False   | False       |         128 | flash_attn |  5.65917   |    16.5796  |   0.75894  |
| 122 |       1 |            128 |            4096 |            16 |              4 |        512 | True     | False   | False       |           0 | flash_attn |  1.7937    |     3.94124 |   9.57788  |
| 123 |       1 |            128 |            4096 |            16 |              4 |        512 | True     | False   | False       |         128 | flash_attn |  5.83972   |    12.8314  |   2.9419   |
| 124 |       1 |            128 |            1024 |            16 |              8 |        512 | True     | False   | False       |           0 | flash_attn |  1.7896    |     8.73829 |   2.39996  |
| 125 |       1 |            128 |            1024 |            16 |              8 |        512 | True     | False   | False       |         128 | flash_attn |  5.35674   |    26.1559  |   0.801788 |
| 126 |       1 |            128 |            4096 |            16 |              8 |        512 | True     | False   | False       |           0 | flash_attn |  1.78837   |     7.42244 |   9.60643  |
| 127 |       1 |            128 |            4096 |            16 |              8 |        512 | True     | False   | False       |         128 | flash_attn |  5.56968   |    23.1163  |   3.08454  |
| 128 |       8 |            128 |            1024 |            16 |              4 |         64 | True     | False   | False       |           0 | flash_attn | 31.465     |    92.1825  |   0.1365   |
| 129 |       8 |            128 |            1024 |            16 |              4 |         64 | True     | False   | False       |         128 | flash_attn | 33.9062    |    99.3346  |   0.126672 |
| 130 |       8 |            128 |            4096 |            16 |              4 |         64 | True     | False   | False       |           0 | flash_attn | 35.8682    |    78.812   |   0.478972 |
| 131 |       8 |            128 |            4096 |            16 |              4 |         64 | True     | False   | False       |         128 | flash_attn | 39.4463    |    86.6739  |   0.435526 |
| 132 |       8 |            128 |            1024 |            16 |              8 |         64 | True     | False   | False       |           0 | flash_attn | 30.3437    |   148.163   |   0.141544 |
| 133 |       8 |            128 |            1024 |            16 |              8 |         64 | True     | False   | False       |         128 | flash_attn | 32.454     |   158.467   |   0.13234  |
| 134 |       8 |            128 |            4096 |            16 |              8 |         64 | True     | False   | False       |           0 | flash_attn | 35.6034    |   147.768   |   0.482534 |
| 135 |       8 |            128 |            4096 |            16 |              8 |         64 | True     | False   | False       |         128 | flash_attn | 38.2697    |   158.834   |   0.448916 |
| 136 |       8 |            128 |            1024 |            16 |              4 |        128 | True     | False   | False       |           0 | flash_attn | 37.7235    |   110.518   |   0.227708 |
| 137 |       8 |            128 |            1024 |            16 |              4 |        128 | True     | False   | False       |         128 | flash_attn | 17.3066    |    50.7028  |   0.49634  |
